epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,633.849,1.28282,0.7752,1.2553,0.95118,0.91489,0.96074,0.63262,1.22154,0.53766,1.19692,0.00333218,0.00333218,0.00333218
2,1228.73,1.28652,0.72037,1.24838,0.94382,0.92766,0.95771,0.63081,1.22482,0.57121,1.22405,0.00633557,0.00633557,0.00633557
3,1803.93,1.3187,0.78397,1.28866,0.92791,0.90922,0.94286,0.61701,1.25393,0.6242,1.24501,0.00900896,0.00900896,0.00900896
4,2374.69,1.30828,0.77832,1.2939,0.95757,0.92308,0.96103,0.65971,1.16647,0.52578,1.19892,0.008515,0.008515,0.008515
5,2944.65,1.24877,0.70386,1.25648,0.9647,0.93121,0.96672,0.66244,1.16349,0.50236,1.19404,0.00802,0.00802,0.00802
6,3515.49,1.21487,0.65765,1.2379,0.96227,0.94137,0.97174,0.67693,1.12699,0.46906,1.17651,0.007525,0.007525,0.007525
7,4084.6,1.18918,0.63122,1.21149,0.96483,0.9487,0.97664,0.68558,1.12119,0.44581,1.16509,0.00703,0.00703,0.00703
8,4653.94,1.16576,0.60381,1.19756,0.96903,0.94678,0.97789,0.69473,1.10271,0.4228,1.15563,0.006535,0.006535,0.006535
9,5225.56,1.15307,0.58712,1.18451,0.96947,0.95083,0.97815,0.69689,1.09998,0.40864,1.14562,0.00604,0.00604,0.00604
10,5795.88,1.13935,0.57465,1.17401,0.97077,0.95343,0.98038,0.70327,1.08448,0.39841,1.13812,0.005545,0.005545,0.005545
11,6364.09,1.12248,0.51132,1.19851,0.96938,0.95201,0.97939,0.69852,1.09055,0.40593,1.14848,0.00505,0.00505,0.00505
12,6932.05,1.10214,0.4946,1.19469,0.97287,0.94932,0.98135,0.70399,1.08723,0.39345,1.15168,0.004555,0.004555,0.004555
13,7503.15,1.08551,0.48363,1.18669,0.97534,0.95059,0.98161,0.7059,1.08507,0.39121,1.15127,0.00406,0.00406,0.00406
14,8072.17,1.07101,0.46829,1.17742,0.97231,0.95674,0.98265,0.70745,1.08077,0.38011,1.14516,0.003565,0.003565,0.003565
15,8640.32,1.05068,0.45297,1.15971,0.9707,0.95839,0.98305,0.71202,1.07519,0.37261,1.14048,0.00307,0.00307,0.00307
16,9209.89,1.03642,0.44251,1.14986,0.97352,0.95614,0.98316,0.71312,1.07199,0.36771,1.13716,0.002575,0.002575,0.002575
17,9780.35,1.0182,0.42846,1.14004,0.97423,0.95615,0.9839,0.71364,1.07207,0.36318,1.13789,0.00208,0.00208,0.00208
18,10350.5,1.00049,0.41563,1.13298,0.97127,0.95913,0.98411,0.71403,1.0716,0.36008,1.13911,0.001585,0.001585,0.001585
19,10921,0.97935,0.40147,1.12197,0.96554,0.9669,0.98412,0.71424,1.07311,0.3571,1.14077,0.00109,0.00109,0.00109
20,11491.2,0.96085,0.38733,1.10835,0.96733,0.96591,0.98497,0.71454,1.07362,0.3563,1.14053,0.000595,0.000595,0.000595
