epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,355.615,1.27052,0.85676,1.21634,0.94779,0.93561,0.97157,0.64158,1.20165,0.51881,1.15602,0.0033287,0.0033287,0.0033287
2,706.504,1.24649,0.67708,1.18457,0.96301,0.8802,0.94113,0.60279,1.30092,0.63909,1.24163,0.00633227,0.00633227,0.00633227
3,1058.07,1.30532,0.76435,1.24412,0.90388,0.83368,0.89463,0.54589,1.36163,0.86893,1.29374,0.00900583,0.00900583,0.00900583
4,1409.22,1.30116,0.7603,1.24962,0.94181,0.90591,0.95374,0.64615,1.18136,0.56931,1.18757,0.008515,0.008515,0.008515
5,1759.88,1.2387,0.68288,1.21122,0.95648,0.92861,0.96563,0.66204,1.17146,0.49998,1.17335,0.00802,0.00802,0.00802
6,2110.81,1.20798,0.64697,1.19028,0.95956,0.92955,0.96705,0.67232,1.12901,0.47584,1.14952,0.007525,0.007525,0.007525
7,2461.6,1.17264,0.61202,1.165,0.96495,0.9436,0.97218,0.6797,1.12985,0.45296,1.14841,0.00703,0.00703,0.00703
8,2812.29,1.15303,0.59128,1.15533,0.96987,0.94363,0.97578,0.68661,1.11247,0.43398,1.13913,0.006535,0.006535,0.006535
9,3162.83,1.13745,0.56867,1.14318,0.96528,0.95304,0.98025,0.69308,1.09872,0.41419,1.12735,0.00604,0.00604,0.00604
10,3513.23,1.11757,0.55417,1.13413,0.96534,0.95469,0.98035,0.69842,1.09554,0.40202,1.12744,0.005545,0.005545,0.005545
11,3866.64,1.10906,0.50526,1.1657,0.96562,0.96275,0.98271,0.70528,1.07548,0.40329,1.11531,0.00505,0.00505,0.00505
12,4217.66,1.08869,0.48748,1.15867,0.96608,0.95957,0.98282,0.69941,1.08415,0.3937,1.13011,0.004555,0.004555,0.004555
13,4568.29,1.07023,0.47425,1.14887,0.96907,0.95745,0.98418,0.70564,1.07085,0.38375,1.11828,0.00406,0.00406,0.00406
14,4920.07,1.0538,0.45974,1.13934,0.96864,0.96288,0.98454,0.71181,1.06603,0.37275,1.11215,0.003565,0.003565,0.003565
15,5272.12,1.03518,0.4467,1.12416,0.97297,0.96159,0.98473,0.71537,1.06415,0.36596,1.1109,0.00307,0.00307,0.00307
16,5623.41,1.01852,0.43391,1.11446,0.97025,0.96359,0.98518,0.71508,1.06388,0.36265,1.11332,0.002575,0.002575,0.002575
17,5974.56,0.99492,0.41928,1.10008,0.97576,0.9612,0.9856,0.71525,1.06403,0.35862,1.11184,0.00208,0.00208,0.00208
18,6325.44,0.97674,0.40673,1.092,0.97723,0.96076,0.98597,0.7173,1.06571,0.35637,1.11299,0.001585,0.001585,0.001585
19,6676.46,0.95266,0.39201,1.07884,0.97254,0.96667,0.98603,0.71804,1.06696,0.35679,1.11453,0.00109,0.00109,0.00109
20,7027.26,0.9337,0.37739,1.06755,0.97035,0.96761,0.98582,0.71743,1.06878,0.35601,1.11663,0.000595,0.000595,0.000595
