epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,178.287,1.27242,1.66005,1.1895,0.96836,0.91608,0.95769,0.56934,1.33931,0.77039,1.19018,0.0033287,0.0033287,0.0033287
2,351.959,1.25501,0.83254,1.1556,0.93948,0.86975,0.93161,0.54435,1.44155,0.73408,1.28784,0.00633227,0.00633227,0.00633227
3,525.748,1.30794,0.80844,1.21046,0.91625,0.81655,0.88893,0.50918,1.4504,0.95321,1.3399,0.00900583,0.00900583,0.00900583
4,699.579,1.30608,0.78527,1.22615,0.92051,0.86714,0.91388,0.60581,1.23095,0.68011,1.19168,0.008515,0.008515,0.008515
5,873.149,1.25316,0.7145,1.20009,0.94773,0.91915,0.9581,0.65489,1.16072,0.53916,1.16484,0.00802,0.00802,0.00802
6,1047.04,1.22619,0.67881,1.18238,0.9463,0.91986,0.96057,0.66199,1.14377,0.5099,1.14326,0.007525,0.007525,0.007525
7,1220.02,1.19888,0.64487,1.16452,0.95436,0.94279,0.96806,0.67467,1.12334,0.46732,1.13568,0.00703,0.00703,0.00703
8,1393.72,1.17946,0.62571,1.15606,0.96123,0.93688,0.97008,0.66934,1.15503,0.46269,1.14745,0.006535,0.006535,0.006535
9,1566.69,1.16527,0.60344,1.14284,0.96326,0.94374,0.97291,0.68185,1.10828,0.44119,1.12474,0.00604,0.00604,0.00604
10,1739.3,1.14758,0.58766,1.13466,0.96735,0.94586,0.97556,0.6896,1.11077,0.42791,1.12661,0.005545,0.005545,0.005545
11,1912.43,1.13687,0.53207,1.1643,0.96245,0.95139,0.97747,0.69483,1.10043,0.42898,1.12292,0.00505,0.00505,0.00505
12,2083.12,1.116,0.51851,1.15281,0.96201,0.95197,0.9762,0.695,1.08905,0.41433,1.11335,0.004555,0.004555,0.004555
13,2253.35,1.10075,0.50209,1.14814,0.96742,0.95456,0.9802,0.70252,1.08261,0.40249,1.11117,0.00406,0.00406,0.00406
14,2423.89,1.08479,0.48661,1.1421,0.96506,0.95556,0.97998,0.70152,1.08128,0.39591,1.10838,0.003565,0.003565,0.003565
15,2594.17,1.0681,0.47574,1.12896,0.96875,0.9565,0.98125,0.70505,1.07259,0.38765,1.10291,0.00307,0.00307,0.00307
16,2764.48,1.05391,0.46204,1.12099,0.97164,0.95569,0.98235,0.70516,1.07358,0.3829,1.10714,0.002575,0.002575,0.002575
17,2934.75,1.03629,0.44882,1.10723,0.97189,0.95637,0.98195,0.70759,1.07132,0.37852,1.10432,0.00208,0.00208,0.00208
18,3105.41,1.02105,0.43364,1.10237,0.9699,0.95986,0.98232,0.70912,1.0701,0.37533,1.104,0.001585,0.001585,0.001585
19,3275.16,1.0012,0.42168,1.09017,0.96923,0.96005,0.98221,0.70889,1.07034,0.37469,1.10365,0.00109,0.00109,0.00109
20,3445.56,0.98374,0.40895,1.07983,0.97125,0.95849,0.98235,0.71064,1.068,0.37266,1.10267,0.000595,0.000595,0.000595
