epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,215.862,1.2859,1.13777,1.20457,0.95264,0.93333,0.96987,0.65038,1.18441,0.52315,1.10207,0.0033287,0.0033287,0.0033287
2,427.234,1.24532,0.67919,1.14705,0.9417,0.86689,0.92286,0.55434,1.41288,0.71271,1.25325,0.00633227,0.00633227,0.00633227
3,639.202,1.29473,0.76034,1.19889,0.91631,0.86809,0.92636,0.53015,1.47415,0.80078,1.33497,0.00900583,0.00900583,0.00900583
4,850.442,1.29569,0.75527,1.21541,0.92472,0.90567,0.94082,0.62401,1.20943,0.58984,1.18805,0.008515,0.008515,0.008515
5,1061.51,1.23668,0.68538,1.18921,0.95858,0.92837,0.96675,0.66122,1.15822,0.50669,1.16573,0.00802,0.00802,0.00802
6,1273.09,1.20895,0.64941,1.17378,0.94576,0.9357,0.96984,0.6723,1.13264,0.48655,1.1427,0.007525,0.007525,0.007525
7,1483.78,1.17891,0.61673,1.15541,0.96725,0.93568,0.96993,0.67772,1.11853,0.45906,1.1354,0.00703,0.00703,0.00703
8,1694.67,1.15849,0.59632,1.1442,0.96905,0.94009,0.97183,0.68061,1.12423,0.44735,1.13568,0.006535,0.006535,0.006535
9,1905.75,1.14137,0.57629,1.13245,0.96701,0.94586,0.97746,0.68836,1.11472,0.42091,1.13086,0.00604,0.00604,0.00604
10,2116.3,1.12216,0.56056,1.1237,0.9603,0.95603,0.97799,0.69636,1.10077,0.40997,1.12469,0.005545,0.005545,0.005545
11,2328.51,1.11331,0.5168,1.15164,0.96025,0.95579,0.98075,0.69632,1.09122,0.41447,1.12321,0.00505,0.00505,0.00505
12,2538,1.09378,0.49882,1.14301,0.96695,0.95463,0.98274,0.70234,1.07865,0.39961,1.11031,0.004555,0.004555,0.004555
13,2747.14,1.07554,0.48397,1.13489,0.97206,0.95626,0.98217,0.70749,1.06481,0.38536,1.10058,0.00406,0.00406,0.00406
14,2956.93,1.05916,0.47056,1.12269,0.97054,0.95801,0.98363,0.70975,1.07017,0.3772,1.10225,0.003565,0.003565,0.003565
15,3166.45,1.03793,0.45525,1.11123,0.97095,0.96123,0.98481,0.713,1.06478,0.37034,1.09967,0.00307,0.00307,0.00307
16,3375.84,1.02216,0.43908,1.1022,0.97043,0.96218,0.98479,0.71391,1.06895,0.36498,1.10191,0.002575,0.002575,0.002575
17,3585.25,1.00171,0.42585,1.09417,0.97571,0.95912,0.98455,0.71147,1.06715,0.36442,1.10455,0.00208,0.00208,0.00208
18,3794.73,0.98339,0.41346,1.08289,0.97271,0.96052,0.9842,0.71205,1.06521,0.36367,1.1035,0.001585,0.001585,0.001585
19,4004.22,0.96029,0.3979,1.07158,0.97242,0.96099,0.98445,0.71156,1.06866,0.36352,1.10526,0.00109,0.00109,0.00109
20,4213.72,0.94157,0.38475,1.06018,0.97312,0.9617,0.98477,0.71344,1.06814,0.36122,1.10478,0.000595,0.000595,0.000595
