epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,810.509,1.27229,0.82988,1.26449,0.95694,0.9383,0.97416,0.65464,1.17982,0.50407,1.19862,0.00333218,0.00333218,0.00333218
2,1567.13,1.27954,0.71483,1.26637,0.95107,0.92364,0.95987,0.62463,1.24041,0.55937,1.23906,0.00633557,0.00633557,0.00633557
3,2305.35,1.32254,0.78609,1.31717,0.93995,0.89553,0.94595,0.62685,1.21733,0.62085,1.25928,0.00900896,0.00900896,0.00900896
4,3037.61,1.30312,0.77354,1.31843,0.95421,0.92124,0.96035,0.64907,1.1825,0.53706,1.23953,0.008515,0.008515,0.008515
5,3768.85,1.24378,0.69588,1.28962,0.9608,0.926,0.96777,0.65544,1.1793,0.50674,1.22923,0.00802,0.00802,0.00802
6,4500.41,1.21168,0.65253,1.26622,0.96937,0.9357,0.97387,0.68313,1.10409,0.46258,1.19434,0.007525,0.007525,0.007525
7,5232.73,1.18734,0.62516,1.24518,0.96943,0.94634,0.97504,0.68621,1.11619,0.44146,1.18777,0.00703,0.00703,0.00703
8,5966.41,1.16268,0.59514,1.22597,0.96258,0.95463,0.97742,0.69502,1.10482,0.4292,1.17933,0.006535,0.006535,0.006535
9,6700.39,1.147,0.58147,1.20578,0.96709,0.95556,0.97702,0.69211,1.10637,0.40932,1.17314,0.00604,0.00604,0.00604
10,7432.63,1.13337,0.56803,1.20206,0.96972,0.95399,0.98044,0.701,1.08812,0.39789,1.15818,0.005545,0.005545,0.005545
11,8164.24,1.1156,0.50102,1.22255,0.96492,0.96244,0.9817,0.70132,1.0961,0.40193,1.177,0.00505,0.00505,0.00505
12,8893.79,1.09536,0.48416,1.21492,0.96194,0.95981,0.98126,0.70133,1.09229,0.39267,1.18452,0.004555,0.004555,0.004555
13,9624,1.07913,0.47421,1.2036,0.96394,0.96053,0.98312,0.70594,1.08315,0.38721,1.17647,0.00406,0.00406,0.00406
14,10354.1,1.0622,0.45747,1.1969,0.96672,0.96139,0.98248,0.70794,1.08113,0.38032,1.17952,0.003565,0.003565,0.003565
15,11085.3,1.04369,0.44575,1.18487,0.97032,0.95838,0.98262,0.71094,1.07489,0.37282,1.17443,0.00307,0.00307,0.00307
16,11816,1.02715,0.43483,1.16892,0.97422,0.95582,0.98257,0.71371,1.075,0.36983,1.16633,0.002575,0.002575,0.002575
17,12546.9,1.00932,0.42015,1.15907,0.96944,0.96008,0.98217,0.71288,1.07471,0.36909,1.16527,0.00208,0.00208,0.00208
18,13278,0.98642,0.4066,1.14338,0.97629,0.95626,0.98282,0.71564,1.07308,0.36469,1.16353,0.001585,0.001585,0.001585
19,14009.6,0.96621,0.39445,1.12855,0.97178,0.96062,0.98361,0.71564,1.07327,0.36182,1.16207,0.00109,0.00109,0.00109
20,14741.2,0.94487,0.37901,1.1186,0.97384,0.95932,0.98387,0.71605,1.07388,0.36054,1.16201,0.000595,0.000595,0.000595
