epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,263.475,1.24861,0.8964,1.17013,0.96609,0.92679,0.96806,0.62186,1.26958,0.55497,1.16518,0.00333219,0.00333219,0.00333219
2,511.709,1.23189,0.67288,1.15531,0.95984,0.91793,0.963,0.65449,1.1744,0.58038,1.16102,0.00633558,0.00633558,0.00633558
3,755.56,1.27074,0.72644,1.19685,0.96123,0.91093,0.95618,0.61137,1.27608,0.60679,1.23268,0.00900897,0.00900897,0.00900897
4,999.654,1.26115,0.71409,1.20966,0.9565,0.92801,0.96469,0.66728,1.15027,0.50925,1.15586,0.008515,0.008515,0.008515
5,1240.54,1.20625,0.65109,1.1795,0.95991,0.93565,0.9695,0.67256,1.1428,0.48686,1.1551,0.00802,0.00802,0.00802
6,1478.77,1.17169,0.61256,1.15732,0.96472,0.94055,0.97611,0.68356,1.12255,0.44867,1.13576,0.007525,0.007525,0.007525
7,1718.13,1.15086,0.58259,1.14246,0.96617,0.93882,0.97768,0.69347,1.10188,0.42957,1.12608,0.00703,0.00703,0.00703
8,1953.83,1.12776,0.56142,1.13177,0.95653,0.95428,0.9775,0.69351,1.09214,0.41467,1.1256,0.006535,0.006535,0.006535
9,2190.05,1.11115,0.54113,1.12245,0.96681,0.95084,0.98147,0.70419,1.08684,0.40147,1.11816,0.00604,0.00604,0.00604
10,2475.04,1.09646,0.5277,1.11461,0.97108,0.94801,0.98224,0.7057,1.08077,0.39407,1.11547,0.005545,0.005545,0.005545
11,2733.62,1.08414,0.47737,1.13769,0.97127,0.95381,0.98208,0.71219,1.06487,0.39073,1.10949,0.00505,0.00505,0.00505
12,2977.82,1.06331,0.46245,1.12758,0.97043,0.955,0.98333,0.71072,1.06881,0.38687,1.11274,0.004555,0.004555,0.004555
13,3234.69,1.0487,0.45012,1.12129,0.97405,0.95402,0.98325,0.71201,1.05905,0.37834,1.10547,0.00406,0.00406,0.00406
14,3477.58,1.03071,0.43474,1.11263,0.96805,0.96082,0.98366,0.71448,1.06123,0.37075,1.10687,0.003565,0.003565,0.003565
15,3719.06,1.02029,0.42343,1.10359,0.9663,0.96246,0.98335,0.71695,1.05346,0.36656,1.10268,0.00307,0.00307,0.00307
16,3971.87,0.99832,0.40962,1.09233,0.9655,0.96568,0.98421,0.71613,1.05582,0.36171,1.10378,0.002575,0.002575,0.002575
17,4213.68,0.98249,0.39639,1.08269,0.96722,0.96713,0.98441,0.71788,1.05355,0.35832,1.10174,0.00208,0.00208,0.00208
18,4453.71,0.96579,0.38298,1.07109,0.96773,0.96689,0.98462,0.71781,1.05531,0.35732,1.1028,0.001585,0.001585,0.001585
19,4694.54,0.94891,0.37328,1.06323,0.96895,0.96772,0.98488,0.71962,1.05347,0.35626,1.10178,0.00109,0.00109,0.00109
20,4955.56,0.93017,0.36008,1.05382,0.96915,0.96899,0.98525,0.71992,1.05253,0.35403,1.1012,0.000595,0.000595,0.000595
